category,feature,internal_or_external,why_used,how_it_helps,literature_backup
Physical Severity,di_houses_damaged_log,External (DesInventar/UNDRR),"log1p(total houses damaged, partial loss).",Partial-loss counterpart to houses_destroyed.,Same Block B rationale.
Physical Severity,di_deaths_log,External (DesInventar/UNDRR),log1p(total deaths) in the matched window.,Human-severity proxy; the DesInventar field most consistently recorded.,Same Block B rationale.
Physical Severity,di_records,External (DesInventar/UNDRR),Count of DesInventar records in the matched window.,"Explicitly declared as a REPORTING-INTENSITY measure, not a severity one -- so if it dominates a model that is stated, not silently misread as 'the disaster was worse'.","docs/audit.md Part 3 Block B, explicit interpretive caveat."
Physical Severity,di_available,External (DesInventar/UNDRR),"1 if the event matched any DesInventar record, else 0 (DesInventar coverage ends 2020-12-20).","Missingness indicator -- without it, a zero in the other di_* columns is indistinguishable between 'confirmed no damage' and 'outside DesInventar's date coverage'.","docs/audit.md Part 3 Block B, audit item P2-7 (mandatory missingness flag)."
Disaster Severity,financial_damage,External (EM-DAT),Reported USD economic damage.,"The thesis's headline severity variable, in money terms -- directly answers 'how big was the disaster financially'.","EM-DAT is the standard disaster-impact database in this literature; CAVEAT (own audit): real for only 18/76 events, zero-filled elsewhere, and missingness is non-random (favours large/recent/international events) -- Category C, known only after post-event assessment, not real-time."
Disaster Severity,population_affected,External (EM-DAT),Reported people affected.,Headcount severity from the same authoritative disaster database.,"EM-DAT standard field; same missingness caveat as financial_damage, though less sparse."
Disaster Severity,log_financial_damage,External (EM-DAT),log1p(financial_damage).,Compresses the multi-order-of-magnitude range of damage figures for modeling.,Standard log-transform; same EM-DAT caveats as financial_damage.
Disaster Severity,log_population_affected,External (EM-DAT),log1p(population_affected).,Compresses the range of affected-population figures.,Standard log-transform; same EM-DAT caveats.
Disaster Severity,damage_to_gdp,External (EM-DAT + World Bank),financial_damage normalised by national GDP.,"Sizes the disaster relative to the economy it hit, rather than in absolute (currency-inflating, economy-growing) dollar terms.",Standard disaster-economics normalisation; no single specific citation.
Disaster Severity,log_damage_x_flood,"External (EM-DAT, derived)",log_financial_damage interacted with the Flood disaster-type flag.,Tests whether the damage-return relationship is flood-specific rather than uniform across disaster types.,Interaction-term convention from the thesis's own severity-by-type hypothesis; no external citation.
Disaster Type,disaster_Drought,External (EM-DAT),One-hot: disaster type is Drought.,Disaster-type fixed effect -- different hazard types plausibly have different market transmission mechanisms.,Standard categorical control; no specific citation.
Disaster Type,disaster_Flood,External (EM-DAT),One-hot: disaster type is Flood.,Disaster-type fixed effect for the most common event type in this sample.,Same rationale as disaster_Drought.
Disaster Type,disaster_Other,External (EM-DAT),"One-hot: disaster type pooled into 'Other' (types with <3 events, to avoid a one-hot that is a memorisation key).",Prevents rare-type one-hots from acting as an identifier for a single training row.,Pooling-rare-categories is standard practice for small-N categorical features; no specific citation.
Disaster Type,disaster_Storm,External (EM-DAT),One-hot: disaster type is Storm.,Disaster-type fixed effect; also the type hz_wind_max3d specifically targets.,Same rationale as disaster_Drought.
Recency,days_since_last_disaster,Internal (derived from EM-DAT dates),Days since the previous qualifying disaster event.,Captures 'disaster fatigue' or compounding-shock effects -- a market that already absorbed a recent shock may react differently.,General compounding-shock rationale in disaster literature; no specific citation.
Recency,disasters_trailing_365d,Internal (derived from EM-DAT dates),Count of qualifying disasters in the trailing 365 days.,Captures a high-frequency-disaster regime vs an isolated single event.,Same rationale as days_since_last_disaster.
Confounder,days_to_election,External (Wikidata),Signed days to nearest national election.,"Controls for a specific known contamination: the 2005-11-17 election falls 4 days before the 2005-11-21 event, which carries the single largest observed Y1 drop.","docs/audit.md Part 3 Block D, motivated by a named, pre-identified contamination case."
Confounder,election_within_5d,External (Wikidata),1 if |days_to_election| <= 5.,+-5 days matches the event-window contamination screen already specified in the thesis audit.,Same Block D rationale.
Other/Metadata,date_is_exact,External (EM-DAT),Whether EM-DAT records an exact (not estimated) event date.,Data-quality flag -- an imprecise event date weakens every date-aligned feature/target built from it.,No external citation; internal data-quality control.
Other/Metadata,total_deaths,External (EM-DAT),"Reported deaths (EM-DAT's own field, distinct from di_deaths_log's DesInventar count).",Human-severity measure from the primary disaster database.,EM-DAT standard field.
Other/Metadata,deaths_available,External (EM-DAT),Missingness flag for total_deaths.,Prevents a zero-death value from being confused with an unreported one.,"Standard missingness-flag practice, same principle as di_available."
Other/Metadata,no_homeless,External (EM-DAT),Reported number left homeless.,Additional severity dimension (housing displacement) from EM-DAT.,EM-DAT standard field.
Other/Metadata,homeless_available,External (EM-DAT),Missingness flag for no_homeless.,Prevents a zero from being confused with unreported.,Standard missingness-flag practice.
Other/Metadata,mag_area_km2,External (EM-DAT),Reported disaster-affected area (km^2).,"Physical-extent severity measure, independent of population/monetary figures.",EM-DAT standard field.
Other/Metadata,mag_wind_kph,External (EM-DAT),"Reported peak wind speed (km/h), EM-DAT's own field (distinct from hz_wind_max3d's NASA POWER measurement).","Storm-intensity measure directly from the disaster database, as a cross-check against the independently-measured hz_wind_max3d.",EM-DAT standard field.
Other/Metadata,mag_area_available,External (EM-DAT),Missingness flag for mag_area_km2.,Prevents a zero from being confused with unreported.,Standard missingness-flag practice.
Other/Metadata,mag_wind_available,External (EM-DAT),Missingness flag for mag_wind_kph.,Prevents a zero from being confused with unreported.,Standard missingness-flag practice.
Other/Metadata,financial_damage_observed,External (EM-DAT),"Missingness flag for financial_damage, which EM-DAT records for only 18 of 74 events.","Lets a model separate an unreported damage figure from a genuinely small one, which median imputation alone would confound.","Standard missingness-flag practice, same principle as di_available."
Other/Metadata,volume_features_available,Internal,Flag for whether the trailing volume block could be computed for this event.,"Volume is absent for part of the early archive, so this marks the rows whose volume ratios are imputed rather than observed.","Standard missingness-flag practice, same principle as di_available."
Other/Metadata,garch_cond_vol_available,Internal,Flag for whether a conditional volatility forecast existed for this event.,"The first 250 sessions have no prior year with enough history, so the forecast is missing there by construction rather than by chance.","Standard missingness-flag practice, same principle as di_available."
Other/Metadata,macro_available,External (World Bank),Flag for whether the publication-lagged macro controls existed for this event year.,Marks events whose macro controls are imputed because the lagged annual figure had not been published.,"Standard missingness-flag practice, same principle as di_available."
